object name,library name,text,rodata,data,bss,code,flash,ram
urlapi.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4722,259,0,0,4981,4981,0
vtls.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3546,384,12,209,3930,3942,221
warnless.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,102,0,0,0,102,102,0
wildcard.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,102,0,0,0,102,102,0
ql_ext_codec.c.obj,..\..\components\ql-kernel\libs\libql_ext_codec.a,356,70,0,16,426,426,16
quec_sfs_file.c.obj,..\..\components\ql-kernel\libs\libql_file.a,5422,587,16,0,6009,6025,16
quec_vfs_file.c.obj,..\..\components\ql-kernel\libs\libql_file.a,448,97,0,0,545,545,0
quec_ftp_client_c.c.obj,..\..\components\ql-kernel\libs\libql_ftp.a,13684,1920,0,0,15604,15604,0
quec_hd_gnss_handle.c.obj,..\..\components\ql-kernel\libs\libql_hd_gnss_aux.a,8922,4891,300,1016,13813,14113,1316
quec_http_client.c.obj,..\..\components\ql-kernel\libs\libql_http.a,19952,2736,105,13,22688,22793,118
ql_lbs_client.c.obj,..\..\components\ql-kernel\libs\libql_lbs.a,6094,653,0,16,6747,6747,16
mqtt_packet.c.obj,..\..\components\ql-kernel\libs\libql_mqtt.a,2368,276,0,0,2644,2644,0
ql_mqtt_client.c.obj,..\..\components\ql-kernel\libs\libql_mqtt.a,11298,794,0,16,12092,12092,16
quec_onenet_token.c.obj,..\..\components\ql-kernel\libs\libql_mqtt.a,1216,414,0,0,1630,1630,0
